ID_ANO_LANC;ID_MES_LANC;ID_DIA_LANC;NO_DIA_COMPLETO;ID_ITEM_INFORMACAO;NO_ITEM_INFORMACAO;CO_ITEM_INFORMACAO;ID_FONTE_RECURSO;CO_FONTE_RECURSO;NO_FONTE_RECURSO;ID_UG;CO_UG;NO_UG;SALDORITEMINFORMAO
2017;5;22;22/05/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;175004;175004;CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS;0.000000
2017;4;26;26/04/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;275057;275057;CIA.BRASILEIRA DE TRENS URBANOS-STU/REC;50430.670000
2018;1;17;17/01/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560003;560003;SECRETARIA EXECUTIVA - MINISTERIO DAS CIDADES;31140715.080000
2018;4;12;12/04/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560008;560008;SECRETARIA NACIONAL DE DESENVOLVIMENTO URBANO;-803.970000
2018;1;31;31/01/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;275068;275068;CIA BRASILEIRA DE TRENS URBANOS-ADM.CENTRAL;-75650.250000
2018;2;9;09/02/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560010;560010;COORDENACAO-GERAL DE RECURSOS LOGISTICOS/MCID;91663.180000
2018;7;26;26/07/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;200012;200012;DEPARTAMENTO NACIONAL DE TRANSITO;83554.860000
2017;5;30;30/05/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275057;275057;CIA.BRASILEIRA DE TRENS URBANOS-STU/REC;213402.680000
2017;11;24;24/11/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275057;275057;CIA.BRASILEIRA DE TRENS URBANOS-STU/REC;481733.740000
2018;4;10;10/04/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560010;560010;COORDENACAO-GERAL DE RECURSOS LOGISTICOS/MCID;3510.440000
2018;8;7;07/08/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560003;560003;SECRETARIA EXECUTIVA - MINISTERIO DAS CIDADES;-517332.600000
2018;7;10;10/07/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;175004;175004;CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS;-824669.170000
2018;1;10;10/01/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560007;560007;SECRETARIA NACIONAL DE MOBILIDADE URBANA;5000.000000
2018;6;11;11/06/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;175004;175004;CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS;226071.970000
2017;7;21;21/07/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;51;51;CONTR.SOCIAL S/O LUCRO DAS PESSOAS JURIDICAS;175004;175004;CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS;-671444.350000
2018;1;9;09/01/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;275058;275058;CIA.BRASILEIRA DE TRENS URBANOS-STU/BH;0.000000
2018;7;10;10/07/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;175004;175004;CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS;1166288.140000
2017;11;22;22/11/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560007;560007;SECRETARIA NACIONAL DE MOBILIDADE URBANA;-1165.830000
2017;6;26;26/06/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560008;560008;SECRETARIA NACIONAL DE DESENVOLVIMENTO URBANO;-1394.590000
2018;4;16;16/04/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;275057;275057;CIA.BRASILEIRA DE TRENS URBANOS-STU/REC;-3025322.630000
2017;11;8;08/11/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;200320;200320;FUNDO NACIONAL DE SEG. E EDUCACAO DE TRANSITO;-106.080000
2017;1;31;31/01/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560008;560008;SECRETARIA NACIONAL DE DESENVOLVIMENTO URBANO;-1442.830000
2018;5;15;15/05/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;80;80;RECURSOS FINANCEIROS DIRETAMENTE ARRECADADOS;275058;275058;CIA.BRASILEIRA DE TRENS URBANOS-STU/BH;-2200000.000000
2018;3;27;27/03/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275078;275078;CIA.BRASILEIRA DE TRENS URBANOS-STU/MAC;4749.000000
2018;8;1;01/08/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;275068;275068;CIA BRASILEIRA DE TRENS URBANOS-ADM.CENTRAL;1420928.730000
2017;9;28;28/09/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560003;560003;SECRETARIA EXECUTIVA - MINISTERIO DAS CIDADES;-56072.970000
2018;5;14;14/05/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;275058;275058;CIA.BRASILEIRA DE TRENS URBANOS-STU/BH;34393.310000
2018;6;14;14/06/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;275057;275057;CIA.BRASILEIRA DE TRENS URBANOS-STU/REC;33478.000000
2018;1;9;09/01/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275078;275078;CIA.BRASILEIRA DE TRENS URBANOS-STU/MAC;4778.500000
2018;8;9;09/08/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;175004;175004;CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS;-12068124.200000
2018;2;26;26/02/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275060;275060;EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S/A;-1945015.560000
2018;1;29;29/01/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275078;275078;CIA.BRASILEIRA DE TRENS URBANOS-STU/MAC;70836.500000
2017;11;23;23/11/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;88;88;REMUNERACAO DAS DISPONIB. DO TESOURO NACIONAL;560005;560005;SECRETARIA NACIONAL DE HABITACAO;-180000.000000
2018;8;14;14/08/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275066;275066;CIA.BRASILEIRA DE TRENS URBANOS-STU/NAT;49777.230000
2018;2;8;08/02/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275078;275078;CIA.BRASILEIRA DE TRENS URBANOS-STU/MAC;4560.500000
2017;3;22;22/03/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560015;560015;FUNDO NACIONAL DE HABIT. DE INTERESSE SOCIAL;1466554.280000
2018;4;13;13/04/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;275060;275060;EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S/A;388910.180000
2017;7;12;12/07/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;200320;200320;FUNDO NACIONAL DE SEG. E EDUCACAO DE TRANSITO;-1875.700000
2018;1;29;29/01/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275058;275058;CIA.BRASILEIRA DE TRENS URBANOS-STU/BH;715375.310000
2017;10;26;26/10/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;88;88;REMUNERACAO DAS DISPONIB. DO TESOURO NACIONAL;560003;560003;SECRETARIA EXECUTIVA - MINISTERIO DAS CIDADES;697788.700000
2017;11;24;24/11/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560005;560005;SECRETARIA NACIONAL DE HABITACAO;-3647278.000000
2017;5;24;24/05/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560011;560011;COORDENACAO-GERAL DE RECURSOS HUMANOS/MCID;1618.390000
2017;7;25;25/07/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560008;560008;SECRETARIA NACIONAL DE DESENVOLVIMENTO URBANO;2000.000000
2018;8;3;03/08/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;275066;275066;CIA.BRASILEIRA DE TRENS URBANOS-STU/NAT;39865.520000
2018;5;3;03/05/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;275060;275060;EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S/A;119154.520000
2018;3;25;25/03/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275060;275060;EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S/A;1350549.430000
2018;7;2;02/07/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275079;275079;CIA. BRASILEIRA DE TRENS URBANOS - STU/JOP;-26147.670000
2017;9;28;28/09/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;275060;275060;EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S/A;260856.720000
2018;6;27;27/06/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;88;88;REMUNERACAO DAS DISPONIB. DO TESOURO NACIONAL;560003;560003;SECRETARIA EXECUTIVA - MINISTERIO DAS CIDADES;224488.400000
2017;0;-9;-09/00/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;560011;560011;COORDENACAO-GERAL DE RECURSOS HUMANOS/MCID;27391.330000
2017;8;2;02/08/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560005;560005;SECRETARIA NACIONAL DE HABITACAO;900.020000
2018;7;27;27/07/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;560006;560006;SECRETARIA NACIONAL DE SANEAMENTO AMBIENTAL;440.010000
2017;5;5;05/05/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;80;80;RECURSOS FINANCEIROS DIRETAMENTE ARRECADADOS;560018;560018;CAIXA ECONOMICA FEDERAL - FNHIS;-298467.830000
2017;7;21;21/07/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275057;275057;CIA.BRASILEIRA DE TRENS URBANOS-STU/REC;490178.990000
2017;8;21;21/08/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;275068;275068;CIA BRASILEIRA DE TRENS URBANOS-ADM.CENTRAL;732.050000
2017;11;8;08/11/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;275078;275078;CIA.BRASILEIRA DE TRENS URBANOS-STU/MAC;3713.330000
2018;4;25;25/04/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;560011;560011;COORDENACAO-GERAL DE RECURSOS HUMANOS/MCID;-3400.470000
2017;2;20;20/02/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;51;51;CONTR.SOCIAL S/O LUCRO DAS PESSOAS JURIDICAS;560003;560003;SECRETARIA EXECUTIVA - MINISTERIO DAS CIDADES;-61352.350000
2017;12;27;27/12/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;560011;560011;COORDENACAO-GERAL DE RECURSOS HUMANOS/MCID;-4911.080000
2017;3;16;16/03/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275066;275066;CIA.BRASILEIRA DE TRENS URBANOS-STU/NAT;76.600000
2018;5;4;04/05/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;275078;275078;CIA.BRASILEIRA DE TRENS URBANOS-STU/MAC;5515.180000
2017;2;17;17/02/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275066;275066;CIA.BRASILEIRA DE TRENS URBANOS-STU/NAT;5504.000000
2017;11;8;08/11/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;175004;175004;CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS;423264.820000
2017;4;25;25/04/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;275068;275068;CIA BRASILEIRA DE TRENS URBANOS-ADM.CENTRAL;21807.280000
2018;6;28;28/06/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;200012;200012;DEPARTAMENTO NACIONAL DE TRANSITO;27599.090000
2017;5;31;31/05/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;560011;560011;COORDENACAO-GERAL DE RECURSOS HUMANOS/MCID;-18.440000
2017;9;1;01/09/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560005;560005;SECRETARIA NACIONAL DE HABITACAO;87.600000
2017;9;18;18/09/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275058;275058;CIA.BRASILEIRA DE TRENS URBANOS-STU/BH;517267.360000
2017;5;5;05/05/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560005;560005;SECRETARIA NACIONAL DE HABITACAO;9740.090000
2017;10;17;17/10/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275058;275058;CIA.BRASILEIRA DE TRENS URBANOS-STU/BH;-98891.360000
2017;4;6;06/04/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560005;560005;SECRETARIA NACIONAL DE HABITACAO;-99.030000
2017;8;30;30/08/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;81;81;RECURSOS DE CONVENIOS;275068;275068;CIA BRASILEIRA DE TRENS URBANOS-ADM.CENTRAL;-5800.000000
2018;5;22;22/05/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;175004;175004;CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS;164712.710000
2017;5;2;02/05/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;560011;560011;COORDENACAO-GERAL DE RECURSOS HUMANOS/MCID;206.010000
2017;12;26;26/12/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;81;81;RECURSOS DE CONVENIOS;275068;275068;CIA BRASILEIRA DE TRENS URBANOS-ADM.CENTRAL;-10642.000000
2017;5;2;02/05/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560008;560008;SECRETARIA NACIONAL DE DESENVOLVIMENTO URBANO;-1036.330000
2017;1;18;18/01/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275066;275066;CIA.BRASILEIRA DE TRENS URBANOS-STU/NAT;4810.000000
2017;9;5;05/09/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;560010;560010;COORDENACAO-GERAL DE RECURSOS LOGISTICOS/MCID;-281.370000
2017;10;9;09/10/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;275078;275078;CIA.BRASILEIRA DE TRENS URBANOS-STU/MAC;69.260000
2017;6;5;05/06/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;275078;275078;CIA.BRASILEIRA DE TRENS URBANOS-STU/MAC;-6934.450000
2017;5;5;05/05/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;275079;275079;CIA. BRASILEIRA DE TRENS URBANOS - STU/JOP;-5710.360000
2018;8;9;09/08/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;275078;275078;CIA.BRASILEIRA DE TRENS URBANOS-STU/MAC;-10859.770000
2018;1;25;25/01/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;200012;200012;DEPARTAMENTO NACIONAL DE TRANSITO;-1519934.700000
2018;1;16;16/01/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275057;275057;CIA.BRASILEIRA DE TRENS URBANOS-STU/REC;250072.260000
2017;10;11;11/10/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;275068;275068;CIA BRASILEIRA DE TRENS URBANOS-ADM.CENTRAL;-30299.670000
2017;8;14;14/08/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275078;275078;CIA.BRASILEIRA DE TRENS URBANOS-STU/MAC;3864.500000
2017;9;25;25/09/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275066;275066;CIA.BRASILEIRA DE TRENS URBANOS-STU/NAT;10437.000000
2017;4;18;18/04/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275078;275078;CIA.BRASILEIRA DE TRENS URBANOS-STU/MAC;3021.700000
2017;12;8;08/12/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;29;29;RECURSOS DE CONCESSOES E PERMISSOES;560003;560003;SECRETARIA EXECUTIVA - MINISTERIO DAS CIDADES;-1133150.000000
2017;1;20;20/01/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275079;275079;CIA. BRASILEIRA DE TRENS URBANOS - STU/JOP;2496.550000
2017;10;31;31/10/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560011;560011;COORDENACAO-GERAL DE RECURSOS HUMANOS/MCID;-24996.340000
2018;7;10;10/07/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;560010;560010;COORDENACAO-GERAL DE RECURSOS LOGISTICOS/MCID;1629.450000
2017;11;1;01/11/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;81;81;RECURSOS DE CONVENIOS;275057;275057;CIA.BRASILEIRA DE TRENS URBANOS-STU/REC;-6557.000000
2018;8;14;14/08/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;44;44;TITULOS DE RESPONSABILID.DO TESOURO NACIONAL;560005;560005;SECRETARIA NACIONAL DE HABITACAO;0.000000
