Órgão UGE Código;Órgão UGE Nome;Dia Lançamento;Item Informação;Saldo R$ (Item Informação)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/02/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(77.035,76)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/02/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(91.593.092,03)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;01/02/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(1.291.676,92)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;01/02/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(227.414,12)
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;01/02/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);2.122.795,14
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/02/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);3.954,35
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/02/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(71.235,96)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/02/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(428.916,40)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/02/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(5.776.595,96)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;01/02/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(3.362.049,26)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;01/02/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(574.112,84)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/02/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(533.073,85)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/02/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(653.413,20)
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;01/02/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);189,08
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/02/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);21.576.270,08
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/02/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(3.830.116,28)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/02/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);122.539,58
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/02/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(900.525,26)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;01/02/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(2.560,70)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;01/02/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(234.186,52)
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;01/02/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);1.736.580,92
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;01/02/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(1.042.422,65)
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/02/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);11.804,14
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/02/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(38.195,72)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/03/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);2.200,00
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/03/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);1.721.869,62
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/03/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);158.000,38
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/03/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);93.209.765,93
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/03/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(6.510.705,24)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/03/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(60.201,09)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/03/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(112.566,32)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;01/03/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);262.192,03
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/03/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);172,05
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/03/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);727.429,97
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/03/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(1.167.054,22)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/03/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(6.760.325,60)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;01/03/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(2.430.064,32)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;01/03/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);2.592.145,59
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/03/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(283.225,37)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/03/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);25.654,28
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/03/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);75.089.780,25
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/03/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(4.094.139,94)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/03/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);81.296,74
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/03/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);263.334.958,21
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;01/03/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);10.365,71
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/03/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);1.819.097,11
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/03/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(444,12)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/04/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);82,00
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/04/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);535,10
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/04/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);400,00
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/04/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);2.100,00
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/04/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);760,00
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/04/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);760,00
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/05/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);19,81
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/05/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);19,81
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/05/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);29.962,80
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/05/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);6.400,00
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/06/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);477.337,70
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/06/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(5.797.276,86)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;01/06/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(2.510.981,56)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;01/06/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(57.309,36)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/06/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(2.247.167,51)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/06/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);510.868,36
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;01/06/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);34.665,25
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;01/06/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(20.600,12)
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/06/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);2.781.260,68
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/06/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(4.878.087,37)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/06/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(96.385,10)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/06/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(1.162.615,16)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;01/06/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(1.085,32)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;01/06/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(4.994,72)
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;01/06/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(677.392,34)
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/06/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);696,57
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/06/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(273.801,79)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/06/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(347.055,98)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/06/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(5.823.881,07)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/06/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);75.295,17
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;01/06/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(104.868,99)
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/06/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);3.278.394,72
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/06/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(5.156.894,92)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/06/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);655.833,82
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/06/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);216.096.065,69
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;01/06/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);31.876,73
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;01/06/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);7.605,62
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/06/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);357.608,03
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/06/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(217.407,20)
41903;FUNDO P/O DESENV.TECNOL.DAS TELECOMUNICACOES;01/06/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);10.559.710,86
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/07/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);207,50
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/07/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);647,30
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/07/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);101.886,22
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/07/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);719.105,08
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/07/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);719.105,08
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/07/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);5.175,00
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/08/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(742.846,04)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(4.747.314,62)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;01/08/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(62.646,03)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;01/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(117.872,39)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/08/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(527.000,85)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(14.184.418,41)
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;01/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(11.444,30)
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/08/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);56.692.111,92
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(5.213.654,04)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/08/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);20.953,65
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);222.377.247,20
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;01/08/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(94.502,96)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;01/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(241.733,09)
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;01/08/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(181.815,84)
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;01/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(1.014.409,34)
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);18.989,73
41903;FUNDO P/O DESENV.TECNOL.DAS TELECOMUNICACOES;01/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);3.742.974,58
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/08/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(5.418,23)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/08/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(5.849.163,28)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;01/08/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(2.789.827,17)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;01/08/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(462.791,75)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/08/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(81.434,53)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/08/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);208.254,81
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;01/08/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);20.722,93
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/08/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);1.049.603,07
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/08/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);522.243,62
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/08/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);246.773,70
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/08/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);307.253.534,28
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;01/08/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);50.999,66
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;01/08/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);104.503,43
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;01/08/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);729.102,25
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;01/08/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);149.423,28
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/08/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);32.126,24
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/08/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(21.287,29)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/09/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);134.940,92
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/09/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(5.816.581,77)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;01/09/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(2.423.997,80)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;01/09/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);10.433,60
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/09/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(4.952.561,32)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/09/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(3.009.685,60)
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;01/09/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);1.182.144,00
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/09/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(1.787.915,61)
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/09/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(861.278,06)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/09/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(31.149,78)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/09/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(3.726.706,11)
